config_id,status,pass,propagation_verified,weight_attn,weight_mlp_gate_up,weight_mlp_down,weight_lm_head,lm_head_geometry,kv_cache_dtype,activation_dtype,residual_dtype,ccl_prefill_dtype,ccl_decode_dtype,logits_dtype,decode_fidelity,prefill_fidelity,lm_head_fidelity,lm_head_fp32_acc,layer_exceptions,decoder_overrides,top1,top5,top100,tokens,prefill_top1,prefill_top5,prefill_top100,ttft_ms_min,teacher_forcing_decode_tok_s_u_median,teacher_forcing_decode_tok_s_u_rounds,teacher_forcing_traced,traced_logits_only_tok_s_u,measurement_regime,per_device_kv_cache_bytes,supported_context,hardware,mesh_shape,branch,commit,command,error
c00-baseline-attn8-mlp4-kv8-lofi,ok,True,True,bfloat8_b,bfloat4_b,bfloat4_b,bfloat4_b,dram_sharded/52/in0bw2,bfloat8_b,bfloat16,bfloat16,bfloat8_b,bfloat16,bfloat16,LoFi,LoFi,LoFi,False,,,0.99,1.0,1.0,100,0.99,1.0,1.0,66.06268003815785,38.03665656550962,"[37.213345528907425, 38.07876803694925, 38.02333226140837, 38.00274063095543, 38.058072240928254, 38.04690825198449, 38.06422454461008, 38.03665656550962, 38.01473580821922, 38.15899937098599, 37.98586496925708]",True,44.13915502925171,"teacher-forcing decode, readiness run_teacher_forcing over 100 generated tokens of readiness_aime24_chat.refpt, batch 1, prompt 204, traced decode (enable_trace=True), token restaged per step; median of 11 rounds",1853882368,131072,4xArch.BLACKHOLE,"[1, 4]",agentic-research/hous/muse-glimmer-30b,c593334a898be7323cf8f43f2eca3988f8f19644,python doc/datatype_sweep/bench/sweep.py --config c00-baseline-attn8-mlp4-kv8-lofi --rounds 11 --replays 64,
c01-attn4-mlp4-kv8-lofi,ok,True,True,bfloat4_b,bfloat4_b,bfloat4_b,bfloat4_b,dram_sharded/52/in0bw2,bfloat8_b,bfloat16,bfloat16,bfloat8_b,bfloat16,bfloat16,LoFi,LoFi,LoFi,False,,,0.99,1.0,1.0,100,0.99,1.0,1.0,64.97540097916499,38.20447847013202,"[37.40066184383286, 38.250899820964364, 38.20447847013202, 38.14520958900745, 38.265822796388946, 38.20518503887458, 38.17942140187507, 38.18837448168478, 38.244980213867564, 38.175106028639334, 38.25251635365851]",True,44.381544514239394,"teacher-forcing decode, readiness run_teacher_forcing over 100 generated tokens of readiness_aime24_chat.refpt, batch 1, prompt 204, traced decode (enable_trace=True), token restaged per step; median of 11 rounds",1853882368,131072,4xArch.BLACKHOLE,"[1, 4]",agentic-research/hous/muse-glimmer-30b,c593334a898be7323cf8f43f2eca3988f8f19644,python doc/datatype_sweep/bench/sweep.py --config c01-attn4-mlp4-kv8-lofi --rounds 11 --replays 64,
c02-attn4-mlp4-kv8-attn-hifi2,ok,True,True,bfloat4_b,bfloat4_b,bfloat4_b,bfloat4_b,dram_sharded/52/in0bw2,bfloat8_b,bfloat16,bfloat16,bfloat8_b,bfloat16,bfloat16,"LoFi(attn_gate=HiFi2,o_proj=HiFi2,wqkv=HiFi2)","LoFi(attn_gate=HiFi2,o_proj=HiFi2,wqkv=HiFi2)",LoFi,False,,,0.99,1.0,1.0,100,0.99,1.0,1.0,63.29397700028494,36.0317732105584,"[35.17306043677935, 36.044748374935054, 36.0362366763687, 35.99754147301127, 36.024889832038966, 36.03315152138106, 36.083081807429245, 35.95691940028789, 36.037463341683306, 35.92637854103139, 36.0317732105584]",True,41.393024362208635,"teacher-forcing decode, readiness run_teacher_forcing over 100 generated tokens of readiness_aime24_chat.refpt, batch 1, prompt 204, traced decode (enable_trace=True), token restaged per step; median of 11 rounds",1853882368,131072,4xArch.BLACKHOLE,"[1, 4]",agentic-research/hous/muse-glimmer-30b,c593334a898be7323cf8f43f2eca3988f8f19644,python doc/datatype_sweep/bench/sweep.py --config c02-attn4-mlp4-kv8-attn-hifi2 --rounds 11 --replays 64,
c03-attn8-hifi2-mlp4-lofi,ok,True,True,bfloat8_b,bfloat4_b,bfloat4_b,bfloat4_b,dram_sharded/52/in0bw2,bfloat8_b,bfloat16,bfloat16,bfloat8_b,bfloat16,bfloat16,"LoFi(attn_gate=HiFi2,o_proj=HiFi2,wqkv=HiFi2)","LoFi(attn_gate=HiFi2,o_proj=HiFi2,wqkv=HiFi2)",LoFi,False,,,0.99,1.0,1.0,100,0.99,1.0,1.0,64.93514101020992,35.626039269731436,"[34.92746115102115, 35.69802979467726, 35.60645204918648, 35.59684389330886, 35.64138627302212, 35.65915089131496, 35.621422913529074, 35.626039269731436, 35.634027907907615, 35.629205587582284, 35.59935272908095]",True,41.12391354978035,"teacher-forcing decode, readiness run_teacher_forcing over 100 generated tokens of readiness_aime24_chat.refpt, batch 1, prompt 204, traced decode (enable_trace=True), token restaged per step; median of 11 rounds",1853882368,131072,4xArch.BLACKHOLE,"[1, 4]",agentic-research/hous/muse-glimmer-30b,c593334a898be7323cf8f43f2eca3988f8f19644,python doc/datatype_sweep/bench/sweep.py --config c03-attn8-hifi2-mlp4-lofi --rounds 11 --replays 64,
c04-mlp4-hifi2,ok,True,True,bfloat8_b,bfloat4_b,bfloat4_b,bfloat4_b,dram_sharded/52/in0bw2,bfloat8_b,bfloat16,bfloat16,bfloat8_b,bfloat16,bfloat16,"LoFi(mlp_down=HiFi2,mlp_gate=HiFi2,mlp_up=HiFi2)","LoFi(mlp_down=HiFi2,mlp_gate=HiFi2,mlp_up=HiFi2)",LoFi,False,,,0.99,1.0,1.0,100,0.99,1.0,1.0,65.1750840479508,28.87859344288137,"[28.39106436751902, 28.866708734676084, 28.886639202977662, 28.86431792078511, 28.87859344288137, 28.885601528662807, 28.884523627948404, 28.87752095099496, 28.869712928194737, 28.884232859224046, 28.894098163371588]",True,32.45280493281787,"teacher-forcing decode, readiness run_teacher_forcing over 100 generated tokens of readiness_aime24_chat.refpt, batch 1, prompt 204, traced decode (enable_trace=True), token restaged per step; median of 11 rounds",1853882368,131072,4xArch.BLACKHOLE,"[1, 4]",agentic-research/hous/muse-glimmer-30b,c593334a898be7323cf8f43f2eca3988f8f19644,python doc/datatype_sweep/bench/sweep.py --config c04-mlp4-hifi2 --rounds 11 --replays 64,
c05-kv4,ok,True,True,bfloat8_b,bfloat4_b,bfloat4_b,bfloat4_b,dram_sharded/52/in0bw2,bfloat4_b,bfloat16,bfloat16,bfloat8_b,bfloat16,bfloat16,LoFi,LoFi,LoFi,False,,,0.97,1.0,1.0,100,0.99,1.0,1.0,63.88308497844264,38.08120612874068,"[37.18243581535057, 38.02860334865399, 38.08120612874068, 38.242265290773695, 37.917356050182626, 38.04333226333378, 38.17640531219098, 38.14977119485027, 38.2164485527005, 38.08097333948984, 38.19429486466972]",True,44.10341776754536,"teacher-forcing decode, readiness run_teacher_forcing over 100 generated tokens of readiness_aime24_chat.refpt, batch 1, prompt 204, traced decode (enable_trace=True), token restaged per step; median of 11 rounds",981467136,131072,4xArch.BLACKHOLE,"[1, 4]",agentic-research/hous/muse-glimmer-30b,c593334a898be7323cf8f43f2eca3988f8f19644,python doc/datatype_sweep/bench/sweep.py --config c05-kv4 --rounds 11 --replays 64,
c06-decode-ccl-bfp8,ok,True,True,bfloat8_b,bfloat4_b,bfloat4_b,bfloat4_b,dram_sharded/52/in0bw2,bfloat8_b,bfloat16,bfloat16,bfloat8_b,bfloat8_b,bfloat16,LoFi,LoFi,LoFi,False,,,0.99,1.0,1.0,100,0.99,1.0,1.0,64.75650396896526,38.140945000681576,"[37.30503418333115, 38.20492488698098, 38.18973238907967, 38.12947551069897, 38.140945000681576, 38.07204475978821, 38.223479836738164, 38.137835948254306, 38.194885071188196, 38.23406143695986, 38.09521096206513]",True,44.34126260241259,"teacher-forcing decode, readiness run_teacher_forcing over 100 generated tokens of readiness_aime24_chat.refpt, batch 1, prompt 204, traced decode (enable_trace=True), token restaged per step; median of 11 rounds",1853882368,131072,4xArch.BLACKHOLE,"[1, 4]",agentic-research/hous/muse-glimmer-30b,c593334a898be7323cf8f43f2eca3988f8f19644,python doc/datatype_sweep/bench/sweep.py --config c06-decode-ccl-bfp8 --rounds 11 --replays 64,
c07-attn4-except-first-last,ok,True,True,bfloat4_b,bfloat4_b,bfloat4_b,bfloat4_b,dram_sharded/52/in0bw2,bfloat8_b,bfloat16,bfloat16,bfloat8_b,bfloat16,bfloat16,LoFi,LoFi,LoFi,False,"[{""layers"": [0, 51], ""weights"": {""attn_projections"": ""bfloat8_b""}}]",,0.99,1.0,1.0,100,0.99,1.0,1.0,63.380844017956406,38.162737114270485,"[37.21570572792886, 38.13014506061874, 38.270425546353955, 38.148833686951, 38.272336312160846, 38.14990585738547, 38.24610455854727, 38.229073775576815, 38.12843570743366, 38.162737114270485, 38.25078395328676]",True,44.37126488989425,"teacher-forcing decode, readiness run_teacher_forcing over 100 generated tokens of readiness_aime24_chat.refpt, batch 1, prompt 204, traced decode (enable_trace=True), token restaged per step; median of 11 rounds",1853882368,131072,4xArch.BLACKHOLE,"[1, 4]",agentic-research/hous/muse-glimmer-30b,c593334a898be7323cf8f43f2eca3988f8f19644,python doc/datatype_sweep/bench/sweep.py --config c07-attn4-except-first-last --rounds 11 --replays 64,
c08-attn4-kv4-cclbfp8,ok,True,True,bfloat4_b,bfloat4_b,bfloat4_b,bfloat4_b,dram_sharded/52/in0bw2,bfloat4_b,bfloat16,bfloat16,bfloat8_b,bfloat8_b,bfloat16,LoFi,LoFi,LoFi,False,,,0.97,1.0,1.0,100,0.99,1.0,1.0,64.41421597264707,38.29296116834563,"[37.432442777708836, 38.32568820612317, 38.2710456549688, 38.186215565850944, 38.298948148230444, 38.310082170610954, 38.34471908466597, 38.219430028621794, 38.21817869960787, 38.29296116834563, 38.35067062160356]",True,44.660531697884174,"teacher-forcing decode, readiness run_teacher_forcing over 100 generated tokens of readiness_aime24_chat.refpt, batch 1, prompt 204, traced decode (enable_trace=True), token restaged per step; median of 11 rounds",981467136,131072,4xArch.BLACKHOLE,"[1, 4]",agentic-research/hous/muse-glimmer-30b,c593334a898be7323cf8f43f2eca3988f8f19644,python doc/datatype_sweep/bench/sweep.py --config c08-attn4-kv4-cclbfp8 --rounds 11 --replays 64,
c09-kv4-cclbfp8,ok,True,True,bfloat8_b,bfloat4_b,bfloat4_b,bfloat4_b,dram_sharded/52/in0bw2,bfloat4_b,bfloat16,bfloat16,bfloat8_b,bfloat8_b,bfloat16,LoFi,LoFi,LoFi,False,,,0.97,1.0,1.0,100,0.99,1.0,1.0,62.18693300615996,38.26944999760827,"[37.43551969930533, 38.31104326194804, 38.32991214355782, 38.245463656958776, 38.34184961172939, 38.30972277508471, 38.231874776878115, 38.31349763745795, 38.26944999760827, 38.253819420024804, 38.25068118013024]",True,44.42107769182304,"teacher-forcing decode, readiness run_teacher_forcing over 100 generated tokens of readiness_aime24_chat.refpt, batch 1, prompt 204, traced decode (enable_trace=True), token restaged per step; median of 11 rounds",981467136,131072,4xArch.BLACKHOLE,"[1, 4]",agentic-research/hous/muse-glimmer-30b,c593334a898be7323cf8f43f2eca3988f8f19644,python doc/datatype_sweep/bench/sweep.py --config c09-kv4-cclbfp8 --rounds 11 --replays 64,
